  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
 101   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 102   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 103   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 104   22    2    0.00   0.00     0      0    0      0      0     0     0.00
 105   27    2    0.00   0.00     0      0    0      0      0     0     0.00
 106   27    2    0.00   0.00     0      0    0      0      0     0     0.00
 107   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 108   29    2    0.00   0.00     0      0    0      0      0     0     0.00
 109   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 110   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 111   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 112    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 113   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 114   29    0   30.00  30.00     9     30   30      9     29    12    41.38
 115    3    0   75.00  75.00     3      4    4      0      3     2    66.67
 116   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 117   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 118   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 119   12    2    0.00   0.00     0      0    0      0      0     0     0.00
 120    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 121   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 122   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 123   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 124    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 125   14    2    0.00   0.00     0      0    0      0      0     0     0.00
 126   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 127   29    2    0.00   0.00     0      0    0      0      0     0     0.00
 128    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 129   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 130   25    2    0.00   0.00     0      0    0      0      0     0     0.00
 131   11    2    0.00   0.00     0      0    0      0      0     0     0.00
 132   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 133    6    0   42.86  42.86     3      7    7      1      6     2    33.33
 134   38    2    0.00   0.00     0      0    0      0      0     0     0.00
 135   23    2    0.00   0.00     0      0    0      0      0     0     0.00
 136   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 137   33    2    0.00   0.00     0      0    0      0      0     0     0.00
 138    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 139   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 140   19    2    0.00   0.00     0      0    0      0      0     0     0.00
 141   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 142   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 143   17    2    0.00   0.00     0      0    0      0      0     0     0.00
 144    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 145   21    2    0.00   0.00     0      0    0      0      0     0     0.00
 146   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 147    5    2    0.00   0.00     0      0    0      0      0     0     0.00
 148    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 149    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 150   30    2    0.00   0.00     0      0    0      0      0     0     0.00
 151   29    2    0.00   0.00     0      0    0      0      0     0     0.00
 152   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 153   20    2    0.00   0.00     0      0    0      0      0     0     0.00
 154   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 155   24    2    0.00   0.00     0      0    0      0      0     0     0.00
 156    9    2    0.00   0.00     0      0    0      0      0     0     0.00
 157   33    2    0.00   0.00     0      0    0      0      0     0     0.00
 158    4    2    0.00   0.00     0      0    0      0      0     0     0.00
 159    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 160   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 161    6    2    0.00   0.00     0      0    0      0      0     0     0.00
 162   10    2    0.00   0.00     0      0    0      0      0     0     0.00
 163   13    2    0.00   0.00     0      0    0      0      0     0     0.00
 164   15    2    0.00   0.00     0      0    0      0      0     0     0.00
 165    3    0   75.00  75.00     3      4    4      0      3     1    33.33
 166   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 167   16    2    0.00   0.00     0      0    0      0      0     0     0.00
 168    8    2    0.00   0.00     0      0    0      0      0     0     0.00
 169   18    2    0.00   0.00     0      0    0      0      0     0     0.00
 170   29    2    0.00   0.00     0      0    0      0      0     0     0.00
