  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
1143   21    2    0.00   0.00     0      0    0      0      0     0     0.00
1144   29    0   30.00  30.00     9     30   30     16     29    26    89.66
1145   12    0   53.85  53.85     7     13   13      2     12     7    58.33
============================================================================
                 33.15  33.25   3501 10560 10529   4002   9948  7199    72.37
=== Summary ===

-- All --
Number of sentence        =   1145
Number of Error sentence  =      0
Number of Skip  sentence  =    533
Number of Valid sentence  =    612
Bracketing Recall         =  33.15
Bracketing Precision      =  33.25
Bracketing FMeasure       =  33.20
Complete match            =   4.58
Average crossing          =   6.54
No crossing               =  14.22
2 or less crossing        =  23.53
Tagging accuracy          =  72.37

-- len<=40 --
Number of sentence        =   1128
Number of Error sentence  =      0
Number of Skip  sentence  =    527
Number of Valid sentence  =    601
Bracketing Recall         =  33.21
Bracketing Precision      =  33.30
Bracketing FMeasure       =  33.26
Complete match            =   4.66
Average crossing          =   6.25
No crossing               =  14.48
2 or less crossing        =  23.96
Tagging accuracy          =  71.97
